Date,Open,Max,Min,Close,Traded Volume
5/22/15,1024.34,1031.26,1018.86,1026.67,664284
5/25/15,1026.67,1027.02,1013.23,1021.17,664284
5/26/15,1021.17,1021.17,990,997.63,664284
5/27/15,997.07,1008.34,989.06,996.56,664284
5/28/15,996.56,1007.84,996.56,1007.84,664284
5/29/15,1007.84,1013.79,993.69,1011.22,664284
6/2/15,1011.34,1025.24,1002.4,1022.05,664284
6/3/15,1021.94,1043.87,1017.47,1019.89,664284
6/4/15,1024.42,1032.21,987.28,988.52,664284
6/5/15,988.52,993,985.02,992.13,664284
6/8/15,992.38,1021.58,989.58,1009.71,664284
6/9/15,1009.71,1027.29,1002.92,1017.41,664284
6/10/15,1017.41,1028.97,1014.99,1021.68,664284
6/11/15,1021.68,1031.57,1018.05,1025.33,664284
6/12/15,1025.33,1039.23,1009.19,1009.89,664284
6/15/15,1009.89,1034.73,985.99,1023.07,664284
6/16/15,1023.07,1032.94,1007.83,1028.46,664284
6/17/15,1028.46,1033.62,1019.74,1024.64,664284
6/18/15,1024.84,1036.7,1022.65,1024.23,664284
6/19/15,1024.18,1031.96,1003.01,1007.1,664284
6/22/15,1007.1,1028.57,1004.29,1028.52,664284
6/23/15,1028.52,1032.99,1026.35,1026.35,664284
6/24/15,1026.22,1029.32,1007.87,1017.8,664284
6/25/15,1017.8,1020.15,1007.61,1020.02,664284
6/26/15,1020.02,1028.6,1019.17,1024.62,664284
6/30/15,1023.71,1026.16,1012.2,1026.16,664284
7/1/15,1026.16,1027.84,1009.51,1013.07,664284
7/2/15,1013.07,1016.2,1007.75,1014.99,664284
7/3/15,1014.99,1021.34,1011.24,1015.48,664284
7/6/15,1015.25,1016.82,1007.51,1015.25,664284
7/7/15,1015.25,1015.25,996.86,998.38,664284
7/8/15,998.38,998.77,976.38,993.27,664284
7/9/15,993.27,1005.92,992.42,1005.05,664284
7/10/15,1005.05,1011.51,993.62,998.49,664284
7/13/15,998.42,1007.9,995.89,1007.9,664284
7/14/15,1008.27,1011.53,999.62,999.79,664284
7/15/15,999.79,1000.17,981.51,996.19,664284
7/16/15,996.08,1000.2,993.76,998.09,664284
7/17/15,998.09,999,977.85,981.57,664284
7/20/15,981.57,993.24,963.94,979.04,664284
7/21/15,979.04,980.22,970.1,977.29,664284
7/22/15,977.29,979.85,961.58,970.34,664284
7/23/15,970.34,978.3,970.34,977.67,664284
7/24/15,977.67,983.59,967.77,983.47,664284
7/27/15,983.47,983.47,949.67,958.95,664284
7/28/15,958.95,976.75,956.45,975.96,664284
7/29/15,975.96,982.18,970.39,974.63,664284
7/30/15,974.63,976.25,964.1,970.93,664284
7/31/15,970.85,978.4,970.45,975.72,664284
8/3/15,975.72,977.51,967.2,972.95,664284
8/4/15,970.1,971.39,961.27,968.95,664284
8/5/15,968.95,972.59,965.41,971.13,664284
8/6/15,971.13,971.36,961,965.81,664284
8/7/15,965.81,965.81,957.44,964.41,664284
8/10/15,964.44,970.38,957.81,969.44,664284
8/11/15,969.44,983.63,969.44,983.24,664284
8/12/15,983.2,987.42,976.85,980.57,664284
8/13/15,980.58,984.21,974.39,976.7,664284
8/14/15,976.7,990.6,976.7,990.6,664284
8/17/15,990.6,995.66,976.14,982.96,664284
8/18/15,982.96,986.07,964.78,984.82,664284
8/19/15,984.82,988.58,970.45,976.53,664284
8/20/15,976.53,983.57,968.48,975.42,664284
8/21/15,975.42,978.86,970.18,976.8,664284
8/25/15,974.93,974.93,955.38,962.63,664284
8/26/15,962.63,964.67,949.27,963.29,664284
8/27/15,962.87,978.73,962.87,972.08,664284
8/28/15,972.08,980.38,967.71,980.35,664284
8/31/15,980.34,983.82,969.38,979.78,664284
9/1/15,978.84,978.84,971.03,972.39,664284
9/2/15,972.36,976.62,972.36,974.9,664284
9/3/15,974.9,979.22,972.55,978.56,664284
9/4/15,978.32,982.8,977.8,980.86,664284
9/7/15,980.86,989.13,976.3,988.93,664284
9/8/15,988.93,993.4,983.57,986.22,664284
9/9/15,986.22,991.74,983.27,989.86,664284
9/10/15,989.86,992.13,986.8,992.1,664284
9/11/15,991.84,997.24,984.85,988.61,664284
9/14/15,988.74,992.83,984.18,984.18,664284
9/15/15,984.18,989.55,949.78,967.98,664284
9/16/15,967.51,972.67,957.18,962.86,664284
9/17/15,962.86,963.62,954.99,960.71,664284
9/18/15,960.71,960.75,943.54,950.06,664284
9/21/15,950.06,950.87,941.08,945,664284
